subject_id,group,session_id,threshold_type,slope_per_run_within_session,intercept,n_runs,first_run,last_run
e51,experimental,1,no_distractor,0.018571428571428603,0.20999999999999994,6,1,6
e51,experimental,2,distractor,-0.005892857142857125,0.26339285714285704,8,1,8
e51,experimental,2,no_distractor,-0.003571428571428558,0.3035714285714285,8,1,8
e51,experimental,3,distractor,-0.010000000000000004,0.20500000000000004,8,1,8
e51,experimental,3,no_distractor,-0.006309523809523824,0.2571428571428572,8,1,8
e51,experimental,4,distractor,0.0029761904761904734,0.14910714285714288,8,1,8
e51,experimental,4,no_distractor,-0.0045238095238095315,0.21285714285714288,8,1,8
e51,experimental,5,distractor,0.0022857142857142746,0.17366666666666675,6,1,6
e51,experimental,5,no_distractor,-0.02285714285714285,0.22333333333333322,6,1,6
e52,control,1,distractor,0.012428571428571454,0.20233333333333334,6,1,6
e52,control,1,no_distractor,0.02142857142857144,0.2033333333333334,6,1,6
e52,control,2,distractor,0.00291666666666666,0.26625000000000004,8,1,8
e52,control,2,no_distractor,-0.007857142857142847,0.34785714285714286,8,1,8
e52,control,3,distractor,-0.006607142857142849,0.3091071428571428,8,1,8
e52,control,3,no_distractor,-0.006666666666666665,0.3,8,1,8
e52,control,4,distractor,-0.0027380952380952387,0.28357142857142864,8,1,8
e52,control,4,no_distractor,0.005714285714285724,0.21678571428571422,8,1,8
e52,control,5,distractor,0.016857142857142852,0.21766666666666679,6,1,6
e52,control,5,no_distractor,-0.011428571428571423,0.33999999999999997,6,1,6
e53,control,1,distractor,0.00757142857142858,0.1776666666666667,6,1,6
e53,control,1,no_distractor,0.016857142857142876,0.19933333333333345,6,1,6
e53,control,2,distractor,0.0080952380952381,0.20857142857142855,8,1,8
e53,control,2,no_distractor,0.007142857142857143,0.2403571428571428,8,1,8
e53,control,3,distractor,0.008095238095238084,0.2585714285714286,8,1,8
e53,control,3,no_distractor,-0.006190476190476185,0.3378571428571429,8,1,8
e53,control,4,distractor,0.007916666666666667,0.31625,8,1,8
e53,control,4,no_distractor,0.020833333333333336,0.2174999999999999,8,1,8
e53,control,5,distractor,0.01471428571428572,0.37433333333333335,6,1,6
e53,control,5,no_distractor,0.013714285714285724,0.3653333333333334,6,1,6
e54,control,1,distractor,0.014714285714285711,0.18266666666666675,6,1,6
e54,control,1,no_distractor,0.027142857142857156,0.16666666666666669,6,1,6
e54,control,2,distractor,0.0029166666666666716,0.2775,8,1,8
e54,control,2,no_distractor,-0.01083333333333332,0.3474999999999999,8,1,8
e54,control,3,distractor,0.00422619047619046,0.2678571428571429,8,1,8
e54,control,3,no_distractor,0.0035714285714285735,0.2664285714285714,8,1,8
e54,control,4,distractor,-0.002083333333333325,0.32375,8,1,8
e54,control,4,no_distractor,-7.773115951059726e-18,0.29000000000000004,8,1,8
e54,control,5,distractor,-0.022000000000000006,0.3403333333333333,6,1,6
e54,control,5,no_distractor,-0.0005714285714285912,0.2953333333333334,6,1,6
e55,experimental,1,distractor,0.010000000000000024,0.21499999999999997,6,1,6
e55,experimental,1,no_distractor,0.01685714285714288,0.2060000000000001,6,1,6
e55,experimental,2,distractor,0.014821428571428574,0.2401785714285714,8,1,8
e55,experimental,2,no_distractor,0.009999999999999997,0.29,8,1,8
e55,experimental,3,distractor,-0.004761904761904746,0.3564285714285713,8,1,8
e55,experimental,3,no_distractor,-0.014642857142857166,0.4121428571428573,8,1,8
e55,experimental,4,distractor,-0.022976190476190466,0.43339285714285714,8,1,8
e55,experimental,4,no_distractor,1.5546231902119453e-17,0.2999999999999999,8,1,8
e55,experimental,5,distractor,0.0005714285714285853,0.24466666666666664,6,1,6
e55,experimental,5,no_distractor,-0.0005714285714285504,0.2986666666666666,6,1,6
